"created","id_sensor","type","unit","value"
"2020-07-01T00:00:13.000Z","humidity_sensor","humidity_max","%",93.77
"2020-07-01T00:05:14.000Z","humidity_sensor","humidity_max","%",93.78
"2020-07-01T00:10:13.000Z","humidity_sensor","humidity_max","%",93.72
"2020-07-01T00:15:15.000Z","humidity_sensor","humidity_max","%",93.74
"2020-07-01T00:20:13.000Z","humidity_sensor","humidity_max","%",93.78
"2020-07-01T00:25:13.000Z","humidity_sensor","humidity_max","%",93.89
"2020-07-01T00:30:28.000Z","humidity_sensor","humidity_max","%",93.99
"2020-07-01T00:35:15.000Z","humidity_sensor","humidity_max","%",93.99
"2020-07-01T00:40:13.000Z","humidity_sensor","humidity_max","%",94.04
"2020-07-01T00:45:13.000Z","humidity_sensor","humidity_max","%",94.12
"2020-07-01T00:50:14.000Z","humidity_sensor","humidity_max","%",94.15
"2020-07-01T00:55:13.000Z","humidity_sensor","humidity_max","%",94.22
"2020-07-01T01:00:14.000Z","humidity_sensor","humidity_max","%",94.15
"2020-07-01T01:05:14.000Z","humidity_sensor","humidity_max","%",94.31
"2020-07-01T01:10:13.000Z","humidity_sensor","humidity_max","%",94.27
"2020-07-01T01:15:14.000Z","humidity_sensor","humidity_max","%",94.25
"2020-07-01T01:20:13.000Z","humidity_sensor","humidity_max","%",94.26
"2020-07-01T01:25:15.000Z","humidity_sensor","humidity_max","%",94.26
"2020-07-01T01:30:12.000Z","humidity_sensor","humidity_max","%",94.24
"2020-07-01T01:35:14.000Z","humidity_sensor","humidity_max","%",94.14
"2020-07-01T01:40:13.000Z","humidity_sensor","humidity_max","%",94.41
"2020-07-01T01:45:15.000Z","humidity_sensor","humidity_max","%",94.39
"2020-07-01T01:50:13.000Z","humidity_sensor","humidity_max","%",94.37
"2020-07-01T01:55:13.000Z","humidity_sensor","humidity_max","%",94.45
"2020-07-01T02:00:14.000Z","humidity_sensor","humidity_max","%",94.55
"2020-07-01T02:05:13.000Z","humidity_sensor","humidity_max","%",94.66
"2020-07-01T02:10:14.000Z","humidity_sensor","humidity_max","%",94.54
"2020-07-01T02:15:13.000Z","humidity_sensor","humidity_max","%",94.57
"2020-07-01T02:20:15.000Z","humidity_sensor","humidity_max","%",94.62
"2020-07-01T02:25:13.000Z","humidity_sensor","humidity_max","%",94.63
"2020-07-01T02:30:13.000Z","humidity_sensor","humidity_max","%",94.61
"2020-07-01T02:35:14.000Z","humidity_sensor","humidity_max","%",94.73
"2020-07-01T02:40:15.000Z","humidity_sensor","humidity_max","%",94.81
"2020-07-01T02:45:15.000Z","humidity_sensor","humidity_max","%",94.94
"2020-07-01T02:50:12.000Z","humidity_sensor","humidity_max","%",94.92
"2020-07-01T02:55:15.000Z","humidity_sensor","humidity_max","%",94.91
"2020-07-01T03:00:12.000Z","humidity_sensor","humidity_max","%",94.81
"2020-07-01T03:05:15.000Z","humidity_sensor","humidity_max","%",94.81
"2020-07-01T03:10:28.000Z","humidity_sensor","humidity_max","%",94.89
"2020-07-01T03:15:14.000Z","humidity_sensor","humidity_max","%",94.89
"2020-07-01T03:20:13.000Z","humidity_sensor","humidity_max","%",94.83
"2020-07-01T03:25:13.000Z","humidity_sensor","humidity_max","%",94.8
"2020-07-01T03:30:15.000Z","humidity_sensor","humidity_max","%",94.79
"2020-07-01T03:35:12.000Z","humidity_sensor","humidity_max","%",94.77
"2020-07-01T03:40:15.000Z","humidity_sensor","humidity_max","%",94.82
"2020-07-01T03:45:13.000Z","humidity_sensor","humidity_max","%",94.82
"2020-07-01T03:50:13.000Z","humidity_sensor","humidity_max","%",94.81
"2020-07-01T03:55:14.000Z","humidity_sensor","humidity_max","%",94.81
"2020-07-01T04:00:13.000Z","humidity_sensor","humidity_max","%",94.82
"2020-07-01T04:05:14.000Z","humidity_sensor","humidity_max","%",94.88
