"created","id_sensor","type","unit","value"
"2020-07-01T00:00:05.000Z","TN01_T_1","soil_temperature","°C",23
"2020-07-01T00:00:05.000Z","TN01_T_0","soil_temperature","°C",25.4
"2020-07-01T00:01:05.000Z","TN02_T_0","soil_temperature","°C",23.9
"2020-07-01T00:01:05.000Z","TN02_T_1","soil_temperature","°C",22.9
"2020-07-01T00:02:05.000Z","TN03_T_0","soil_temperature","°C",23.7
"2020-07-01T00:02:05.000Z","TN03_T_1","soil_temperature","°C",21.7
"2020-07-01T00:03:05.000Z","TN04_T_0","soil_temperature","°C",25.7
"2020-07-01T00:03:05.000Z","TN04_T_1","soil_temperature","°C",23.6
"2020-07-01T00:05:05.000Z","TN06_T_0","soil_temperature","°C",20.7
"2020-07-01T00:05:05.000Z","TN06_T_1","soil_temperature","°C",19.8
"2020-07-01T00:05:05.000Z","TN06_T_1","soil_temperature","°C",19.8
"2020-07-01T00:05:05.000Z","TN06_T_0","soil_temperature","°C",20.7
"2020-07-01T00:06:05.000Z","TN07_T_1","soil_temperature","°C",19.2
"2020-07-01T00:06:05.000Z","TN07_T_0","soil_temperature","°C",20.7
"2020-07-01T00:07:05.000Z","TN08_T_1","soil_temperature","°C",19.6
"2020-07-01T00:07:05.000Z","TN08_T_0","soil_temperature","°C",20.8
"2020-07-01T00:08:05.000Z","TN09_T_0","soil_temperature","°C",19.2
"2020-07-01T00:08:05.000Z","TN09_T_1","soil_temperature","°C",17.7
"2020-07-01T00:15:05.000Z","TN01_T_1","soil_temperature","°C",23
"2020-07-01T00:15:05.000Z","TN01_T_0","soil_temperature","°C",25.4
"2020-07-01T00:16:05.000Z","TN02_T_1","soil_temperature","°C",22.9
"2020-07-01T00:16:05.000Z","TN02_T_0","soil_temperature","°C",23.8
"2020-07-01T00:17:05.000Z","TN03_T_1","soil_temperature","°C",21.7
"2020-07-01T00:17:05.000Z","TN03_T_0","soil_temperature","°C",23.6
"2020-07-01T00:18:05.000Z","TN04_T_0","soil_temperature","°C",25.6
"2020-07-01T00:18:05.000Z","TN04_T_1","soil_temperature","°C",23.6
"2020-07-01T00:20:05.000Z","TN06_T_1","soil_temperature","°C",19.8
"2020-07-01T00:20:05.000Z","TN06_T_0","soil_temperature","°C",20.7
"2020-07-01T00:21:05.000Z","TN07_T_1","soil_temperature","°C",19.2
"2020-07-01T00:21:05.000Z","TN07_T_0","soil_temperature","°C",20.6
"2020-07-01T00:22:05.000Z","TN08_T_1","soil_temperature","°C",19.6
"2020-07-01T00:22:05.000Z","TN08_T_0","soil_temperature","°C",20.8
"2020-07-01T00:23:05.000Z","TN09_T_0","soil_temperature","°C",19.1
"2020-07-01T00:23:05.000Z","TN09_T_1","soil_temperature","°C",17.7
"2020-07-01T00:30:05.000Z","TN01_T_0","soil_temperature","°C",25.3
"2020-07-01T00:30:05.000Z","TN01_T_1","soil_temperature","°C",23
"2020-07-01T00:31:05.000Z","TN02_T_0","soil_temperature","°C",23.7
"2020-07-01T00:31:05.000Z","TN02_T_1","soil_temperature","°C",22.9
"2020-07-01T00:32:05.000Z","TN03_T_0","soil_temperature","°C",23.6
"2020-07-01T00:32:05.000Z","TN03_T_1","soil_temperature","°C",21.7
"2020-07-01T00:33:05.000Z","TN04_T_0","soil_temperature","°C",25.5
"2020-07-01T00:33:05.000Z","TN04_T_1","soil_temperature","°C",23.6
"2020-07-01T00:35:05.000Z","TN06_T_0","soil_temperature","°C",20.6
"2020-07-01T00:35:05.000Z","TN06_T_1","soil_temperature","°C",19.8
"2020-07-01T00:36:05.000Z","TN07_T_0","soil_temperature","°C",20.6
"2020-07-01T00:36:05.000Z","TN07_T_1","soil_temperature","°C",19.2
"2020-07-01T00:37:05.000Z","TN08_T_0","soil_temperature","°C",20.8
"2020-07-01T00:37:05.000Z","TN08_T_1","soil_temperature","°C",19.6
"2020-07-01T00:38:05.000Z","TN09_T_0","soil_temperature","°C",19.1
"2020-07-01T00:38:05.000Z","TN09_T_1","soil_temperature","°C",17.7
"2020-07-01T00:45:05.000Z","TN01_T_1","soil_temperature","°C",23.1
"2020-07-01T00:45:05.000Z","TN01_T_0","soil_temperature","°C",25.3
"2020-07-01T00:46:05.000Z","TN02_T_1","soil_temperature","°C",22.9
"2020-07-01T00:46:05.000Z","TN02_T_0","soil_temperature","°C",23.7
"2020-07-01T00:47:05.000Z","TN03_T_0","soil_temperature","°C",23.5
"2020-07-01T00:47:05.000Z","TN03_T_1","soil_temperature","°C",21.7
"2020-07-01T00:48:05.000Z","TN04_T_0","soil_temperature","°C",25.4
"2020-07-01T00:48:05.000Z","TN04_T_1","soil_temperature","°C",23.7
"2020-07-01T00:50:05.000Z","TN06_T_1","soil_temperature","°C",19.8
"2020-07-01T00:50:05.000Z","TN06_T_0","soil_temperature","°C",20.6
"2020-07-01T00:51:05.000Z","TN07_T_0","soil_temperature","°C",20.6
"2020-07-01T00:51:05.000Z","TN07_T_1","soil_temperature","°C",19.2
"2020-07-01T00:52:05.000Z","TN08_T_0","soil_temperature","°C",20.8
"2020-07-01T00:52:05.000Z","TN08_T_1","soil_temperature","°C",19.6
"2020-07-01T00:53:05.000Z","TN09_T_0","soil_temperature","°C",19.1
"2020-07-01T00:53:05.000Z","TN09_T_1","soil_temperature","°C",17.7
"2020-07-01T01:00:05.000Z","TN01_T_1","soil_temperature","°C",23.1
"2020-07-01T01:00:05.000Z","TN01_T_0","soil_temperature","°C",25.2
"2020-07-01T01:01:05.000Z","TN02_T_1","soil_temperature","°C",22.9
"2020-07-01T01:01:05.000Z","TN02_T_0","soil_temperature","°C",23.6
"2020-07-01T01:02:05.000Z","TN03_T_1","soil_temperature","°C",21.7
"2020-07-01T01:02:05.000Z","TN03_T_0","soil_temperature","°C",23.4
